OBJECTID,Sample Site,Sample Station (SS) - Location Description,X - Coordinate,Y - Coordinate,LONGITUDE,LATITUDE,City or Placename,ZIP Code
224,35350,"SS - IFO 541 N/S W 207th (Emerson) St, 1st SS E/O Sherman Ave, 12""",1006457,254634,-73.91971212,40.86555816,New York,10034
225,35450,"SS - IFO 500 N/S E 76th St, 2nd SS E/O York Ave, 12""",997934,219442,-73.95059819,40.76898335,New York,10021
226,35550,"SS - N/S Washington Square S, 1st SS W/O Washington Square E (OPP 70 Washington Square E), 12""",985154,205130,-73.99673831,40.72971106,New York,10012
227,35650,"SS - N/S W 25th St, 2nd SS W/O Broadway,  OPP 28 W 25th St 12""",986871,210227,-73.99054129,40.74370072,New York,10010
228,35750,"SS - N/S W 83rd St, 2nd SS W/O Central Park West, 12""",992124,224820,-73.97156708,40.78375163,New York,10024
229,35800,"SS - N/S E 85th St, BTW 5th & Madison Aves,  OPP 16 E 85th St, 36""",995459,223581,-73.9595265,40.7803473,New York,10028
230,35900,"SS - IFO 168 W/S 5th Ave, BTW E 21st & E 22nd Sts, 48""",986915,209114,-73.99038294,40.7406458,New York,10010
231,36000,"SS - S/S E 68th St, BTW 5th & Madison Aves, 36""",993046,219645,-73.96824452,40.76954675,New York,10065
232,36100,"SS - IFO 1212 E/S 6th Ave, BTW W 47th & W 48th Sts, 20""",989398,215557,-73.98141773,40.75832912,New York,10036
233,36200,"SS - W/S 5th Ave, BTW W 8th St & Washington Square N, 48""",985124,205874,-73.99684646,40.73175316,New York,10011
234,36350,"SS - IFO 165 N/S E 112th St, 1st SS E/O Lexington Ave, 12""",1000097,229237,-73.94276625,40.7958644,New York,10029
235,36500,"SS - E/S Broadway, BTW Howard & Grand Sts, 30""",983915,201605,-74.00120852,40.72003583,New York,10013
236,36600,"SS - IFO 87 E/S Bowery, BTW Hester & Canal Sts, 36""",985508,200478,-73.99546193,40.7169424,New York,10013
237,36700,"SS - S/S South St, BTW Rutgers Slip & Jefferson Sts, 30""",987453,197979,-73.98844679,40.71008276,New York,10002
