OBJECTID,Sample Site,Sample Station (SS) - Location Description,X - Coordinate,Y - Coordinate,LONGITUDE,LATITUDE,City or Placename,ZIP Code
363,57750,"SS - IFO 264 W/S Lockman Ave, 2nd SS S/O Brabant St, 12""",939334,169106,-74.16181933,40.63071954,Staten Island,10303
364,58150,"SS - IFO 3262 W/S Richmond Ave, 1st SS N/O Gurley Ave, 12""",937093,143243,-74.16971246,40.5597193,Staten Island,10312
365,58250,"SS - IFO 578 E/S Drumgoole Rd East, 2nd SS N/O Arden Ave, 12""",934244,138616,-74.17993144,40.54700349,Staten Island,10312
366,58300,"SS - IFO 4299 NW/S Hylan Blvd, BTW W""ester & Thornycroft Aves, 48""",941916,134558,-74.15230075,40.535905,Staten Island,10312
367,58350,"SS - IFO 139 NE/S W""ester Ave, 2nd SS N/O Hylan Blvd, 8""",941317,134810,-74.1544573,40.53659381,Staten Island,10312
368,58400,"SS - IFO 408 W/S Woodrow Rd, BTW Arden Ave & Almond St, 20""",932029,139673,-74.18790958,40.54989198,Staten Island,10312
369,58600,"SS - N/S Hylan Blvd, 1st SS E/O Page Ave, 20""",920455,124432,-74.22941312,40.50798271,Staten Island,10309
370,58650,"SS - IFO 510 W/S Main St, 2nd SS S/O Hylan Blvd, 12""",916207,122378,-74.24466864,40.50231332,Staten Island,10307
371,58850,"SS - IFO 255 N/S Westwood Ave, 1st SS W/O Franklin Pl, 12""",951160,160296,-74.11917056,40.60659001,Staten Island,10314
372,58950,"SS - IFO 1085-15 N/S Castleton Ave, 2nd SS W/O Broadway, 12""",951286,170459,-74.11876641,40.63448577,Staten Island,10310
373,59050,"SS - IFO 989 N/S Forest Ave, 2nd SS W/O Clove Rd, 12""",950229,167908,-74.12256182,40.62747983,Staten Island,10310
374,59300,"SS - N/S Victory Blvd, 1st SS E/O Royal Oak Rd, 16""",952850,162957,-74.11309656,40.61390006,Staten Island,10301
375,59350,"SS - IFO 1824 S/S Victory Blvd, BTW Raymond Ave & Lester St, 12""",949781,162605,-74.12414868,40.61292248,Staten Island,10314
376,76150,"SS - IFO 160-20 S/S 85th Ave, BTW 160th & 161st Sts",1038620,198864,-73.80388072,40.71234539,Jamaica,11432
377,76300,"SS - N/S Hillside Ave & BTW 213 Pl & 214 St, 16""",1052705,203691,-73.75302555,40.72549653,Queens Village,11427
378,76450,"SS - OPP 139-50 N/S 85th Dr, 2nd SS E/O 139th St",1035350,197598,-73.81568559,40.70889002,Jamaica,11435
379,76550,"SS - N/S Baisley Blvd, W/O Smith St",1045511,186628,-73.77913542,40.67871549,Jamaica,11434
380,76650,"SS - IFO 87-60 W/S Chevy Chase St, 2nd S/O Henley Rd",1046472,200528,-73.77554233,40.71686092,Jamaica,11432
381,76750,"SS - IFO 160-10 S/S 89th Ave, 2nd E/O Parsons Blvd",1039534,196579,-73.80060259,40.70606796,Jamaica,11432
382,76850,"SS - IFO 111-46 W/S Farmers Blvd, 1st SS N/O Keeseville Ave",1049525,194731,-73.76458529,40.70092759,Saint Albans,11412
383,76950,"SS - IFO 90-20 W/S Francis Lewis Blvd, 1st SS S/O 90th Ave",1051654,200734,-73.75684698,40.71738838,Queens Village,11428
384,77050,"SS - IFO 93-40 E/S 217th St, S/O 94th Ave (IFO - Queens Village Library)",1056499,201702,-73.73935884,40.72000705,Queens Village,11428
385,77150,"SS - N/S Linden Blvd, 1st SS W/O 230th St",1058674,191704,-73.731623,40.692547,Cambria Heights,11411
386,77350,"SS - S/S Merrick Blvd, BTW 222nd St & 223rd St, IFO 222-18 Merrick Blvd",1054559,186410,-73.74651707,40.67804989,Springfield Gardens,11413
387,77550,"SS - IFO E/S 222nd St, 2nd S/O 91st Rd",1057716,204264,-73.73494053,40.72702907,Queens Village,11428
388,77650,"SS - OPP 110-52 E/S 207th St, 1st N/O 111th Ave",1053711,196581,-73.74946945,40.70597352,Queens Village,11429
389,77750,"SS - OPP 120-11 W/S 237th St, 1st SS S/O 120th Ave",1059645,189067,-73.72815105,40.68530086,Cambria Heights,11411
390,77850,"SS - N/S 90th Ave, BTW 179th & 180th Sts",1044675,198391,-73.78204392,40.71100784,Jamaica,11432
391,78050,"SS - OPP 110-38 E/S Springfield Blvd, 1st S/O 110th Rd",1056660,197103,-73.7388275,40.70738264,Queens Village,11429
392,78150,"SS - IFO 85-31 E/S 120th St, 2nd SS N/O Hillside Ave",1031161,195158,-73.830812,40.70221601,Kew Gardens,11415
393,78350,"SS - N/S Hillside Ave, BTW 189th & 190th Sts",1047324,200078,-73.77247308,40.71561975,Hollis,11423
394,78450,"SS - IFO 88-18 W/S Hollis Court Blvd, 2nd SS S/O Hillside Ave",1052428,202866,-73.75403327,40.72323425,Queens Village,11427
395,78550,"SS - W/S Springfield Blvd, 2nd SS S/O 116th Ave",1055425,193468,-73.74332036,40.69741548,Cambria Heights,11411
396,78650,"SS -N/S Linden Blvd, 1st SS E/O 191st St (IFO Queens Library)",1050830,191629,-73.75990948,40.69240363,Saint Albans,11412
397,78850,"SS - OPP 109-36 E/S 160th St, 2nd SS N/O 110th Ave",1042080,191964,-73.79145938,40.69338463,Jamaica,11433
398,79050,"SS - S/S South Conduit Ave, 1st SS E/O 221st St",1051749,181801,-73.75669398,40.66542114,Springfield Gardens,11413
399,79150,"SS - IFO 127-11 E/S Farmers Blvd (Keyspan), 2nd SS N/O Merrick Blvd",1050498,187418,-73.76114809,40.68084794,Jamaica,11434
400,79450,"SS - OPP 127-18 N/S Foch Blvd, 1st SS W/O 128th St",1036997,185580,-73.80983909,40.6758938,South Ozone Park,11420
401,79550,"SS - OPP 109-11 W/S 127th St, 2nd SS S/O 109th Ave",1035573,188405,-73.81495129,40.68365614,South Ozone Park,11420
