Sample Site,X - Coordinate,Y - Coordinate,"
"
36350,1000097,229237,"
"
36500,983915,201605,"
"
36600,985508,200478,"
"
36700,987453,197979,"
"
36950,999939,219046,"
"
37300,997037,238820,"
"
37450,993850,232387,"
"
37950,988485,205450,"
"
38150,989901,222686,"
"
38250,997994,222826,"
"
38300,1003227,247967,"
"
38650,996500,231218,"
"
39200,988030,220500,"
"
39400,989043,220395,"
"
39550,997170,225580,"
"
39550,997172,225580,"
"
39650,992565,214253,"
"
39750,995942,218935,"
"
39800,989480,224221,"
"
39950,990776,227477,"
"
3SC26,1003134,247853,"
"
4ISL5,1015316,229741,"
"
40150,1002251,221752,"
"
40200,1012206,222705,"
"
40250,1010037,220644,"
"
40300,998105,210271,"
"
40350,1000003,214134,"
"
40450,1003047,209194,"
"
40550,1011000,208696,"
"
40600,1017800,215038,"
"
40650,1018876,216530,"
"
40750,1014894,214445,"
"
40800,1011829,212286,"
"
40850,1015318,210104,"
"
40950,1019803,210877,"
"
41050,1018708,206370,"
"
41100,1020261,209842,"
"
41150,1026226,207866,"
"
41250,1014728,203714,"
"
41300,1007301,196633,"
"
41350,1009308,196373,"
"
41450,1012510,193596,"
"
41550,1023300,205981,"
"
41600,1021543,205810,"
"
41650,1026792,202666,"
"
41750,1021435,218787,"
"
41850,1050755,210470,"
"
41900,1040557,209716,"
"
41950,1040549,214712,"
"
42100,1019954,199151,"
"
42150,1018772,197537,"
"
42300,1005648,208750,"
"
42350,1004860,211464,"
"
42700,1049282,209900,"
"
42750,1043933,207580,"
"
42850,1037347,200782,"
"
42950,1046079,204823,"
"
43050,1026611,193874,"
"
43150,1026601,183111,"
"
43250,1022120,190652,"
"
43550,1027699,225142,"
"
43600,1031944,218059,"
"
43650,1029519,219268,"
"
43750,1031507,224135,"
"
43900,1048519,218452,"
"
43950,1045509,222777,"
"
44150,1008141,224609,"
"
44250,1009146,214314,"
"
44350,1002964,216964,"
"
44450,1055329,206333,"
"
44550,1041759,224449,"
"
44700,1040470,205827,"
"
44750,1036698,206954,"
"
44950,1023963,199221,"
"
45000,1056313,213038,"
"
45050,1060423,215516,"
"
45250,1043088,156447,"
"
45650,1030884,187685,"
"
45700,1028340,181542,"
"
45750,1026111,177745,"
"
45850,1026984,185810,"
"
46100,1055532,160561,"
"
46150,1052304,156146,"
"
